"N","J","Distribution","Response","Alpha_Mean","Alpha_SD","Omega_Mean","Omega_SD"
400,20,"heavy","acquiescent",0.948969771491495,0.0117862668324979,0.949418872943723,0.0116031319697535
400,20,"normal","acquiescent",0.954253441233493,0.0049162943868211,0.954596618605263,0.00485166212551101
400,20,"skewed","acquiescent",0.954356366442635,0.00675739276492365,0.954699623497693,0.00666786631109129
500,3,"heavy","acquiescent",0.723495198633383,0.0504779316794814,0.725577979775385,0.049793082952338
500,3,"normal","acquiescent",0.752999444842857,0.0348314139426048,0.754854134576917,0.0350336285296854
500,3,"skewed","acquiescent",0.760404017475602,0.036663066591944,0.763027132886971,0.0366209219539355
500,10,"heavy","acquiescent",0.904573631318232,0.0190645069671798,0.905418780718961,0.0188132656562794
500,10,"normal","acquiescent",0.910212318902654,0.010148805348374,0.910907858660775,0.0101730207193773
500,10,"skewed","acquiescent",0.912087580413902,0.0115072643503854,0.912762518550723,0.0114274572177632
500,20,"heavy","acquiescent",0.948402938263348,0.00911041766613639,0.948843811264353,0.00894763607656058
500,20,"normal","acquiescent",0.9542519348875,0.00491696585027283,0.954588344177718,0.0048709960200671
500,20,"skewed","acquiescent",0.953669663451009,0.00477030813843282,0.954023194456364,0.00467256204528215
800,3,"heavy","acquiescent",0.746341352547144,0.0445262258988224,0.748583433119036,0.043866293153973
800,3,"normal","acquiescent",0.748664458553208,0.0429353008845829,0.7502360768153,0.0429506541075324
800,3,"skewed","acquiescent",0.750574761753908,0.0377420738297699,0.752802436133437,0.0377056615804541
800,10,"heavy","acquiescent",0.907360461035115,0.022956398913383,0.908159354088413,0.0226318240794885
800,10,"normal","acquiescent",0.91163344910189,0.00950801828891075,0.912338238755769,0.00939835664827632
800,10,"skewed","acquiescent",0.911102633493083,0.00940734019369387,0.911724909618019,0.0093276535577713
800,20,"heavy","acquiescent",0.951244967135899,0.00752743142199484,0.951632848795367,0.00740795394605081
800,20,"normal","acquiescent",0.953769131777115,0.00488032057574411,0.954097441107175,0.00484962546726338
800,20,"skewed","acquiescent",0.953937875708467,0.00387012515826045,0.954288244570633,0.00379604777516098
1000,3,"heavy","acquiescent",0.755670874026827,0.0674005674646821,0.757975344029808,0.0668221327440277
1000,3,"normal","acquiescent",0.755676253022326,0.0303831541903499,0.757663524331383,0.0302848488081515
1000,3,"skewed","acquiescent",0.749089542505798,0.0390875782949457,0.751387068659048,0.0385035266903162
1000,10,"heavy","acquiescent",0.905074587527588,0.0128076735255766,0.905749175619033,0.0126425255235885
1000,10,"normal","acquiescent",0.910714069631489,0.00970002381884416,0.911355245893774,0.00969502824308176
1000,10,"skewed","acquiescent",0.911125515489964,0.00943729126403959,0.911737730921049,0.00938056636566924
1000,20,"heavy","acquiescent",0.950537241980205,0.00707165843071791,0.950922663424193,0.00694720507487722
1000,20,"normal","acquiescent",0.954106857719927,0.00343245245999483,0.954395478920476,0.003404823533524
1000,20,"skewed","acquiescent",0.952856308976997,0.00496744563694322,0.953186815710621,0.00490229849849294
2000,3,"heavy","acquiescent",0.748081871822232,0.0415489212649838,0.749914664126737,0.0415226874693567
2000,3,"normal","acquiescent",0.760154246505939,0.0321381122710131,0.761750355073444,0.0320735883785889
2000,3,"skewed","acquiescent",0.751636320541874,0.0326966779671369,0.75353065316555,0.0325477715038608
2000,10,"heavy","acquiescent",0.908246764899329,0.0110339720371417,0.908902220892666,0.0108860170358902
2000,10,"normal","acquiescent",0.911619168040536,0.00854602153841296,0.912207700145669,0.00851217836093622
2000,10,"skewed","acquiescent",0.912631341347133,0.0088925402080358,0.913180932889471,0.00882101542432479
2000,20,"heavy","acquiescent",0.952675607691769,0.00618805872056901,0.953021178073303,0.00609966841305057
2000,20,"normal","acquiescent",0.953779277572158,0.00339438508146182,0.954085785683669,0.003352230094266
2000,20,"skewed","acquiescent",0.95380309814649,0.00398303321066336,0.954100346966716,0.00396139615512597
3000,3,"heavy","acquiescent",0.748864389480817,0.0383453593456214,0.750799532084456,0.0382946461930794
3000,3,"normal","acquiescent",0.763600596184098,0.0329075447080183,0.765148756202733,0.0326358650946496
3000,3,"skewed","acquiescent",0.755455398685367,0.0370604540849966,0.756872188010908,0.0370425636334683
3000,10,"heavy","acquiescent",0.908733451682447,0.0178343832295585,0.909326158942949,0.017696676173102
3000,10,"normal","acquiescent",0.912955034286421,0.0095374931300035,0.913535862187308,0.00954545044921123
3000,10,"skewed","acquiescent",0.911870752495218,0.00796942351682668,0.91245401845131,0.00789218378136808
