"N","J","Distribution","Response","Alpha_Mean","Omega_Mean"
4000,20,"normal","consistent",0.950141385942791,0.950477060881884
4000,20,"normal","extreme",0.950810168690443,0.951133155266948
4000,20,"normal","inconsistent",0.866178449323972,0.8664950297334
4000,20,"skewed","acquiescent",0.954622734120957,0.95489158831612
4000,20,"skewed","consistent",0.950832218810121,0.951152900502173
4000,20,"skewed","extreme",0.949583480959355,0.94993682623384
4000,20,"skewed","inconsistent",0.865291774487795,0.865644507061512
5000,3,"heavy","acquiescent",0.76127797067958,0.762859829740103
5000,3,"heavy","consistent",0.735962767032289,0.737702668157631
5000,3,"heavy","extreme",0.738214546899376,0.739762986870583
5000,3,"heavy","inconsistent",0.480268856696187,0.481601230393694
5000,3,"normal","acquiescent",0.753573380218947,0.755495026072091
5000,3,"normal","consistent",0.739248260535232,0.740839929546298
5000,3,"normal","extreme",0.746921256304607,0.749006131557308
5000,3,"normal","inconsistent",0.48913274647896,0.490590651101376
5000,3,"skewed","acquiescent",0.750490840704197,0.752198936126183
5000,3,"skewed","consistent",0.749469527731294,0.751121583664921
5000,3,"skewed","extreme",0.740474879243809,0.742276329603654
5000,3,"skewed","inconsistent",0.487799528407792,0.489634382053174
5000,10,"heavy","acquiescent",0.910926401961028,0.911526914407446
5000,10,"heavy","consistent",0.904071401248933,0.904729729903366
5000,10,"heavy","extreme",0.904839263456515,0.90550369504238
5000,10,"heavy","inconsistent",0.760375782513862,0.760947172901797
5000,10,"normal","acquiescent",0.912383854456809,0.912949319448415
5000,10,"normal","consistent",0.906070294446483,0.906741095592886
5000,10,"normal","extreme",0.905387201404195,0.906032203862809
5000,10,"normal","inconsistent",0.765906375843879,0.766444301490998
5000,10,"skewed","acquiescent",0.912437202374372,0.912968680234202
5000,10,"skewed","consistent",0.906202177153537,0.906836235431418
5000,10,"skewed","extreme",0.90512627335628,0.905822522067605
5000,10,"skewed","inconsistent",0.761900953993354,0.762430484407939
5000,20,"heavy","acquiescent",0.953758939067075,0.954051730404814
5000,20,"heavy","consistent",0.951461404718768,0.951804642876525
5000,20,"heavy","extreme",0.948856652998379,0.949226010250253
5000,20,"heavy","inconsistent",0.859963755539079,0.860300184651067
5000,20,"normal","acquiescent",0.952952907870791,0.953248390389614
5000,20,"normal","consistent",0.950235411821942,0.950562787079711
5000,20,"normal","extreme",0.950142512799185,0.950475306237695
5000,20,"normal","inconsistent",0.865765127392703,0.866090379757019
5000,20,"skewed","acquiescent",0.95471495539558,0.954975530972328
5000,20,"skewed","consistent",0.95000942619488,0.950351162025567
5000,20,"skewed","extreme",0.9503562997208,0.950694420084073
5000,20,"skewed","inconsistent",0.867953738666458,0.868268396864916
