"N","J","Distribution","Response","Alpha.mean","Alpha.sd","Omega.mean","Omega.sd"
 400,20,"skewed","extreme",0.949246412,0.006976554,0.949739760,0.006829559
 500,20,"skewed","extreme",0.952210924,0.005347842,0.952573973,0.005271591
 800,20,"skewed","extreme",0.949960771,0.005228042,0.950341118,0.005176426
1000,20,"skewed","extreme",0.949767467,0.005188133,0.950144056,0.005108584
2000,20,"skewed","extreme",0.951386944,0.004048639,0.951724257,0.003999227
3000,20,"skewed","extreme",0.950393345,0.003110404,0.950727461,0.003100829
4000,20,"skewed","extreme",0.949583481,0.003906012,0.949936826,0.003867570
5000,20,"skewed","extreme",0.950356300,0.004374828,0.950694420,0.004351528
  10, 3,"heavy","inconsistent",0.163077036,0.575092847,0.477409039,0.263322350
  30, 3,"heavy","inconsistent",0.372711541,0.262156103,0.507033701,0.170573391
  50, 3,"heavy","inconsistent",0.414795395,0.147926313,0.495421287,0.113410200
 100, 3,"heavy","inconsistent",0.459310236,0.142870902,0.498726048,0.124586161
 200, 3,"heavy","inconsistent",0.464089033,0.100162415,0.477718983,0.096515449
 300, 3,"heavy","inconsistent",0.477854802,0.111674797,0.490219344,0.104326550
 400, 3,"heavy","inconsistent",0.462897356,0.076957096,0.471207530,0.074652000
 500, 3,"heavy","inconsistent",0.459965043,0.078595993,0.468163310,0.076954969
 800, 3,"heavy","inconsistent",0.476551820,0.070151933,0.480397200,0.070027028
1000, 3,"heavy","inconsistent",0.485187397,0.073587419,0.487563541,0.073418836
2000, 3,"heavy","inconsistent",0.495937475,0.063629275,0.498307704,0.063140784
3000, 3,"heavy","inconsistent",0.482055442,0.052939764,0.483528620,0.052814289
4000, 3,"heavy","inconsistent",0.494591202,0.050598075,0.496103992,0.050194436
5000, 3,"heavy","inconsistent",0.480268857,0.045829286,0.481601230,0.045776491
  30,10,"heavy","inconsistent",0.671625032,0.111535980,0.671860652,0.116511195
  50,10,"heavy","inconsistent",0.703245220,0.110611483,0.709107263,0.107521014
 100,10,"heavy","inconsistent",0.727491802,0.079152163,0.731367262,0.077495354
 200,10,"heavy","inconsistent",0.740383324,0.057807477,0.742440704,0.056759633
 300,10,"heavy","inconsistent",0.748262410,0.047067745,0.749953290,0.046619817
 400,10,"heavy","inconsistent",0.735581591,0.046220463,0.736989145,0.045842865
 500,10,"heavy","inconsistent",0.755784049,0.044989341,0.756871041,0.044527077
 800,10,"heavy","inconsistent",0.749355396,0.042571121,0.750279920,0.042280018
1000,10,"heavy","inconsistent",0.756807158,0.041605405,0.757532900,0.041421022
2000,10,"heavy","inconsistent",0.757425454,0.036336555,0.758099519,0.036216867
3000,10,"heavy","inconsistent",0.756716069,0.034356061,0.757372817,0.034210329
4000,10,"heavy","inconsistent",0.756272210,0.028179121,0.756851792,0.028089954
5000,10,"heavy","inconsistent",0.760375783,0.019993610,0.760947173,0.019971615
  30,20,"heavy","inconsistent",0.814837381,0.078514178,0.803457525,0.132958466
  50,20,"heavy","inconsistent",0.845399664,0.066667475,0.848571565,0.064914916
 100,20,"heavy","inconsistent",0.842742094,0.047147098,0.844393952,0.046717180
 200,20,"heavy","inconsistent",0.846276882,0.039761237,0.847465724,0.039273197
 300,20,"heavy","inconsistent",0.859916024,0.032004736,0.860644010,0.031768502
 400,20,"heavy","inconsistent",0.858653343,0.034729698,0.859333675,0.034481578
 500,20,"heavy","inconsistent",0.859445582,0.028328250,0.859943880,0.028155968
 800,20,"heavy","inconsistent",0.855890315,0.027128365,0.856327029,0.027026485
1000,20,"heavy","inconsistent",0.861352368,0.022425763,0.861817213,0.022319007
2000,20,"heavy","inconsistent",0.861580060,0.022121625,0.861942549,0.022004686
3000,20,"heavy","inconsistent",0.862489555,0.021434783,0.862838027,0.021354090
4000,20,"heavy","inconsistent",0.867582060,0.019118236,0.867897462,0.019027621
5000,20,"heavy","inconsistent",0.859963756,0.015466202,0.860300185,0.015416496
  10, 3,"normal","inconsistent",0.318804967,0.575981198,0.567626717,0.188879015
  30, 3,"normal","inconsistent",0.475909375,0.195052387,0.558272842,0.147676339
  50, 3,"normal","inconsistent",0.489513866,0.150090547,0.548320451,0.131315559
 100, 3,"normal","inconsistent",0.505312739,0.108064924,0.537889045,0.083808226
 200, 3,"normal","inconsistent",0.503248153,0.062857485,0.517028136,0.058094182
 300, 3,"normal","inconsistent",0.488853420,0.054174574,0.498299175,0.048480190
 400, 3,"normal","inconsistent",0.477447215,0.057391168,0.484962526,0.055292853
 500, 3,"normal","inconsistent",0.492302546,0.049480330,0.498612327,0.048214907
 800, 3,"normal","inconsistent",0.484216585,0.052860016,0.488291739,0.051615168
1000, 3,"normal","inconsistent",0.492816301,0.035337012,0.496285599,0.034302669
2000, 3,"normal","inconsistent",0.497665028,0.035536841,0.499739223,0.035537439
3000, 3,"normal","inconsistent",0.494104500,0.036786751,0.495649496,0.036659412
4000, 3,"normal","inconsistent",0.495008039,0.036890619,0.496530776,0.036652545
5000, 3,"normal","inconsistent",0.489132746,0.034904405,0.490590651,0.035008801
  30,10,"normal","inconsistent",0.751488644,0.073710074,0.755323436,0.077038422
  50,10,"normal","inconsistent",0.750968699,0.060067193,0.756769243,0.057763767
 100,10,"normal","inconsistent",0.754114076,0.036990826,0.757646908,0.035842059
 200,10,"normal","inconsistent",0.755681235,0.026534636,0.757645610,0.026037968
 300,10,"normal","inconsistent",0.759803563,0.024571246,0.761096768,0.024569208
 400,10,"normal","inconsistent",0.761676504,0.023333652,0.762816092,0.023141271
 500,10,"normal","inconsistent",0.761239976,0.018624864,0.762303413,0.018645044
 800,10,"normal","inconsistent",0.762672195,0.015826139,0.763464253,0.015705827
1000,10,"normal","inconsistent",0.765704940,0.014238155,0.766410062,0.014125702
2000,10,"normal","inconsistent",0.764051616,0.015439671,0.764656967,0.015450306
3000,10,"normal","inconsistent",0.764866050,0.015003376,0.765447478,0.015007680
4000,10,"normal","inconsistent",0.767077074,0.014896755,0.767662113,0.014799915
5000,10,"normal","inconsistent",0.765906376,0.014227275,0.766444301,0.014218780
  30,20,"normal","inconsistent",0.856142618,0.039686426,0.859440393,0.038820551
  50,20,"normal","inconsistent",0.858095459,0.031343377,0.860053470,0.031618218
 100,20,"normal","inconsistent",0.860331788,0.020711017,0.861695743,0.020714259
 200,20,"normal","inconsistent",0.865848286,0.014135249,0.866626221,0.014095651
 300,20,"normal","inconsistent",0.867805843,0.011236887,0.868422259,0.011102227
 400,20,"normal","inconsistent",0.868068252,0.012795418,0.868588102,0.012709323
 500,20,"normal","inconsistent",0.865954863,0.010770341,0.866427789,0.010669685
 800,20,"normal","inconsistent",0.861103957,0.009542283,0.861585349,0.009467262
1000,20,"normal","inconsistent",0.867506717,0.008642267,0.867911824,0.008586245
2000,20,"normal","inconsistent",0.865922520,0.008149444,0.866277825,0.008080254
3000,20,"normal","inconsistent",0.866691234,0.005243695,0.867008136,0.005214889
4000,20,"normal","inconsistent",0.866178449,0.006017947,0.866495030,0.006011049
5000,20,"normal","inconsistent",0.865765127,0.005760124,0.866090380,0.005749431
  10, 3,"skewed","inconsistent",0.311183780,0.488064724,0.550262466,0.237338778
  30, 3,"skewed","inconsistent",0.429718637,0.219489920,0.556899199,0.130421493
  50, 3,"skewed","inconsistent",0.445881739,0.165596048,0.536199803,0.123018095
 100, 3,"skewed","inconsistent",0.470005175,0.105781628,0.512049166,0.085185298
 200, 3,"skewed","inconsistent",0.490013809,0.093019727,0.517534932,0.062883417
 300, 3,"skewed","inconsistent",0.489059578,0.054925211,0.499034896,0.053177385
 400, 3,"skewed","inconsistent",0.492413828,0.051650455,0.498130379,0.051280794
 500, 3,"skewed","inconsistent",0.472745363,0.060483076,0.477953517,0.059109563
 800, 3,"skewed","inconsistent",0.486160736,0.040755544,0.489478085,0.040595446
1000, 3,"skewed","inconsistent",0.497838689,0.044257020,0.501137639,0.042172562
2000, 3,"skewed","inconsistent",0.486307698,0.046076251,0.488754270,0.045843066
3000, 3,"skewed","inconsistent",0.489445150,0.038505856,0.491058384,0.038366199
4000, 3,"skewed","inconsistent",0.491991568,0.040441548,0.493406284,0.040379784
5000, 3,"skewed","inconsistent",0.487799528,0.037270439,0.489634382,0.037257854
  30,10,"skewed","inconsistent",0.721661102,0.098332667,0.729898498,0.093866007
  50,10,"skewed","inconsistent",0.735050977,0.080881843,0.740137869,0.079973300
 100,10,"skewed","inconsistent",0.756713766,0.048168501,0.760041615,0.046543694
 200,10,"skewed","inconsistent",0.757234260,0.042684941,0.759256582,0.042041143
 300,10,"skewed","inconsistent",0.761695358,0.033023671,0.763020987,0.032728878
 400,10,"skewed","inconsistent",0.757948863,0.028987256,0.759080399,0.028849552
 500,10,"skewed","inconsistent",0.757008323,0.026700228,0.758059647,0.026663737
 800,10,"skewed","inconsistent",0.756599963,0.022913771,0.757415173,0.022770185
1000,10,"skewed","inconsistent",0.764709208,0.017468296,0.765459201,0.017341832
2000,10,"skewed","inconsistent",0.764253438,0.015995325,0.764886119,0.015961623
3000,10,"skewed","inconsistent",0.766807847,0.013822792,0.767427306,0.013774883
4000,10,"skewed","inconsistent",0.764638598,0.013073774,0.765162925,0.012994693
5000,10,"skewed","inconsistent",0.761900954,0.013310776,0.762430484,0.013254565
  30,20,"skewed","inconsistent",0.840840290,0.059208139,0.842821533,0.061812911
  50,20,"skewed","inconsistent",0.847692470,0.043291744,0.849971479,0.043377827
 100,20,"skewed","inconsistent",0.857545037,0.033571805,0.859020116,0.033053547
 200,20,"skewed","inconsistent",0.863209182,0.019543464,0.864041922,0.019346075
 300,20,"skewed","inconsistent",0.865066786,0.016077038,0.865692249,0.016123702
 400,20,"skewed","inconsistent",0.865129367,0.015330308,0.865654169,0.015209797
 500,20,"skewed","inconsistent",0.865555367,0.015067572,0.866077076,0.014983464
 800,20,"skewed","inconsistent",0.865159100,0.014802984,0.865585545,0.014736877
1000,20,"skewed","inconsistent",0.865508733,0.010766235,0.865903324,0.010714842
2000,20,"skewed","inconsistent",0.864082744,0.007660835,0.864437875,0.007598716
3000,20,"skewed","inconsistent",0.865204915,0.008428610,0.865536180,0.008405775
4000,20,"skewed","inconsistent",0.865291774,0.008061396,0.865644507,0.008031959
5000,20,"skewed","inconsistent",0.867953739,0.006717707,0.868268397,0.006711497
