"N","J","Distribution","Response","Alpha.mean","Alpha.sd","Omega.mean","Omega.sd"
5000,20,"normal","acquiescent",0.952952908,0.002618820,0.953248390,0.002608600
  10, 3,"skewed","acquiescent",0.664391513,0.206064480,0.743849224,0.163385274
  30, 3,"skewed","acquiescent",0.706686774,0.129842945,0.738318648,0.101268607
  50, 3,"skewed","acquiescent",0.740708401,0.091313448,0.753071440,0.082567209
 100, 3,"skewed","acquiescent",0.744255519,0.060475626,0.752217081,0.058752918
 200, 3,"skewed","acquiescent",0.744983349,0.054342814,0.749300346,0.052593975
 300, 3,"skewed","acquiescent",0.754504870,0.035753300,0.757596188,0.034980437
 400, 3,"skewed","acquiescent",0.758802042,0.046096658,0.761523548,0.045406476
 500, 3,"skewed","acquiescent",0.760404017,0.036663067,0.763027133,0.036620922
 800, 3,"skewed","acquiescent",0.750574762,0.037742074,0.752802436,0.037705662
1000, 3,"skewed","acquiescent",0.749089543,0.039087578,0.751387069,0.038503527
2000, 3,"skewed","acquiescent",0.751636321,0.032696678,0.753530653,0.032547772
3000, 3,"skewed","acquiescent",0.755455399,0.037060454,0.756872188,0.037042564
4000, 3,"skewed","acquiescent",0.754676308,0.033845522,0.756129051,0.033897871
5000, 3,"skewed","acquiescent",0.750490841,0.033007264,0.752198936,0.033127597
  30,10,"skewed","acquiescent",0.877272436,0.081955555,0.878568769,0.094963261
  50,10,"skewed","acquiescent",0.899470757,0.034992866,0.901769415,0.033780976
 100,10,"skewed","acquiescent",0.910441186,0.021128488,0.911668550,0.020540398
 200,10,"skewed","acquiescent",0.906963707,0.013347090,0.908094721,0.013130126
 300,10,"skewed","acquiescent",0.911126528,0.013548636,0.911918146,0.013358298
 400,10,"skewed","acquiescent",0.909402910,0.013909189,0.910107436,0.013858256
 500,10,"skewed","acquiescent",0.912087580,0.011507264,0.912762519,0.011427457
 800,10,"skewed","acquiescent",0.911102633,0.009407340,0.911724910,0.009327654
1000,10,"skewed","acquiescent",0.911125515,0.009437291,0.911737731,0.009380566
2000,10,"skewed","acquiescent",0.912631341,0.008892540,0.913180933,0.008821015
3000,10,"skewed","acquiescent",0.911870752,0.007969424,0.912454018,0.007892184
4000,10,"skewed","acquiescent",0.912370485,0.007960053,0.912884882,0.007884083
5000,10,"skewed","acquiescent",0.912437202,0.009237117,0.912968680,0.009205241
  30,20,"skewed","acquiescent",0.941611063,0.023650188,0.943291098,0.023094438
  50,20,"skewed","acquiescent",0.951101279,0.014219145,0.952082398,0.013835591
 100,20,"skewed","acquiescent",0.953320321,0.010322950,0.953961920,0.010053373
 200,20,"skewed","acquiescent",0.953586307,0.007027003,0.954058996,0.006910441
 300,20,"skewed","acquiescent",0.952968562,0.006502507,0.953361427,0.006423383
 400,20,"skewed","acquiescent",0.954356366,0.006757393,0.954699623,0.006667866
 500,20,"skewed","acquiescent",0.953669663,0.004770308,0.954023194,0.004672562
 800,20,"skewed","acquiescent",0.953937876,0.003870125,0.954288245,0.003796048
1000,20,"skewed","acquiescent",0.952856309,0.004967446,0.953186816,0.004902298
2000,20,"skewed","acquiescent",0.953803098,0.003983033,0.954100347,0.003961396
3000,20,"skewed","acquiescent",0.954323053,0.003695003,0.954620381,0.003662250
4000,20,"skewed","acquiescent",0.954622734,0.003304976,0.954891588,0.003282811
5000,20,"skewed","acquiescent",0.954714955,0.003479711,0.954975531,0.003459620
  10, 3,"heavy","consistent",0.572636418,0.429373072,0.702271056,0.212605737
  30, 3,"heavy","consistent",0.680575868,0.158740646,0.713757018,0.131556883
  50, 3,"heavy","consistent",0.715880375,0.106214058,0.732797071,0.097253217
